operacion,tipo,long,lat,m2total,direccion,calle,altura,cambio,preciotex,preciousd,precioars,preciousdm,precioarsm,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-58.4702701,-34.5650984,355.0,Monroe 3500,Monroe ,3500,36.4,U$S 1100000,1100000.0,40040000.0,3098.5915489999998,112788.732394,BELGRANO,13.0,1155,C1155AAA
VTA,TERRENO,-58.458535499999996,-34.5491711,270.0,11 de Septiembre 3100, de Septiembre ,11,36.4,U$S 650000,650000.0,23660000.0,2407.407407,87629.62963,NUâ”œÃ¦EZ,13.0,1431,C1431EKN
VTA,TERRENO,-58.4919289,-34.5794056,335.0,Ceretti 2200,Ceretti ,2200,36.4,U$S 1050000,1050000.0,38220000.0,3134.3283579999998,114089.55223900001,VILLA URQUIZA,12.0,1042,C1042ABD
VTA,TERRENO,-58.3745483,-34.6032738,300.0,SARMIENTO 1600,SARMIENTO ,1600,36.4,U$S 950000,950000.0,34580000.0,3166.666667,115266.66666700001,SAN NICOLAS,1.0,1407,C1407FIH
VTA,TERRENO,-58.4877725,-34.626523999999996,189.0,Av.Gaona 4595,Av.Gaona ,4595,36.4,U$S 600000,600000.0,21840000.0,3174.603175,115555.55555599999,FLORESTA,10.0,1406,C1406HEX
VTA,TERRENO,-58.456759,-34.634575500000004,462.0,Gregorio de la Ferrere 2300,Gregorio de la Ferrere ,2300,36.4,U$S 480000,480000.0,17472000.0,1038.961039,37818.181818,FLORES,7.0,,
VTA,TERRENO,-58.478149,-34.622174,121.0,CUENCA Y AV. GAONA,CUENCA Y AV. GAONA,,36.4,U$S 390000,390000.0,14196000.0,3223.140496,117322.31405,VILLA SANTA RITA,11.0,1184,C1184ABH
VTA,TERRENO,-58.426083,-34.599234,433.0,Rocamora 4366,Rocamora ,4366,36.4,U$S 1400000,1400000.0,50960000.0,3233.256351,117690.53117799999,ALMAGRO,5.0,1419,C1419EQQ
VTA,TERRENO,-58.497121321426,-34.583083079543,471.0,Av.Mosconi 2500,Av.Mosconi ,2500,36.4,U$S 1550000,1550000.0,56420000.0,3290.870488,119787.685775,VILLA PUEYRREDON,12.0,1208,C1208ABV
VTA,TERRENO,-58.4267640901,-34.614870026999995,268.0,Hipolito Yrigoyen 4200,Hipolito Yrigoyen ,4200,36.4,U$S 900000,900000.0,32760000.0,3358.2089549999996,122238.80597,ALMAGRO,5.0,1405,C1405DCU
VTA,TERRENO,-58.438139,-34.6085649,1450.0,av. Diaz Velez 5300,av. Diaz Velez ,5300,36.4,U$S 4900000,4900000.0,178360000.0,3379.3103450000003,123006.89655199999,CABALLITO,6.0,1426,C1426BBB
VTA,TERRENO,-58.4566076,-34.5760347,142.0,Gral. Enrique MARTINEZ 300,Gral. Enrique MARTINEZ ,300,36.4,U$S 480000,480000.0,17472000.0,3380.28169,123042.253521,COLEGIALES,13.0,1245,C1245ABB
VTA,TERRENO,-58.39094059999999,-34.632934999999996,359.0,Rondeau 1872,Rondeau ,1872,36.4,U$S 1250000,1250000.0,45500000.0,3481.89415,126740.947075,PARQUE PATRICIOS,4.0,1192,C1192AAT
VTA,TERRENO,-58.425518000000004,-34.600136,83.0,GUARDIA VIEJA 4300 Y PALESTINA,GUARDIA VIEJA ,4300,36.4,U$S 290000,290000.0,10556000.0,3493.975904,127180.722892,ALMAGRO,5.0,,
